1618388960.747,936,2,0100274100000000
1618388960.751,359,1,727f7d00001a0f00
1618388960.752,359,2,727f7d00001a0f00
1618388960.753,532,1,8000000000007340
1618388960.755,535,2,163816301650164c
1618388960.757,71,1,2000000000000000
1618388960.760,71,2,2000000000000000
1618388960.761,74,1,0200000000000040
1618388960.762,74,2,0200000000000040
1618388960.763,130,1,6600142863800000
1618388960.764,133,2,7c23000057000102
1618388960.766,118,1,3e3d400071010000
1618388960.768,119,2,1d41082c7f092e28
1618388960.773,71,1,2000000000000000
1618388960.773,133,2,7c23000058100102
1618388960.774,65,1,0000000000000000
1618388960.775,120,2,0168801000000000
1618388960.777,133,1,7c23000058100102
1618388960.777,130,2,6500142c63800000
1618388960.778,578,1,026c205423000001
1618388960.779,578,2,026c205423000001
1618388960.780,1200,1,6500800020000810
1618388960.780,133,2,7c2300005a300102
1618388960.796,71,1,2000000000000000
1618388960.797,71,2,2000000000000000
1618388960.798,1057,1,0000300000005e1d
1618388960.818,146,2,6f65704073520861
1618388960.819,359,1,727f7800001a1b00
1618388960.820,1459,2,4d00010101010101
1618388960.821,535,2,16181614163c162c
1618388960.821,531,1,0101000000122341
1618388960.822,131,1,0020800000000000
1618388960.824,131,2,0020800000000000
1618388960.825,535,1,1614161016381624
1618388960.825,1430,2,6a00010101010101
1618388960.826,130,1,6600142862800000
1618388960.827,133,2,7c2300005d600102
1618388960.827,118,1,3e3c400071010000
1618388960.828,118,2,3e3c400071010000
1618388960.844,145,1,7f617f4e00000000
1618388960.845,133,2,7c2300005e700102
1618388960.845,65,1,0000000000000000
1618388960.846,120,2,0168801000000000
1618388960.847,133,1,7c2300005e700102
1618388960.848,130,2,6600142863800000
1618388960.848,609,1,00006f006e000000
1618388960.850,133,2,7c22000061700102
1618388960.851,357,1,1040000000000000
1618388960.849,71,1,2000000000000000
1618388960.848,609,2,00006f006e000000
1618388960.853,74,1,0200000000000040
1618388960.852,71,2,2000000000000000
1618388960.854,145,2,7f6e7f5222431000
1618388960.855,359,1,727f6400001a2500
1618388960.856,359,2,727f6400001a2500
1618388960.857,534,1,275c317356000000
1618388960.858,1045,2,1e0e2437083d083d
1618388960.859,71,1,2000000000000000
1618388960.860,71,2,2000000000000000
1618388960.861,1076,1,2718171a0f010030
1618388960.862,130,1,6400142862800000
1618388960.861,145,2,7f447f5040391000
1618388960.862,359,2,727f5f00001a2600
1618388960.863,118,1,3e3c400071010000
1618388960.863,119,2,1d0b082d7f091a29
1618388960.864,71,1,2000000000000000
1618388960.865,133,2,7c22000065300102
1618388960.891,66,1,0000000000000000
1618388960.894,120,2,0068001000000000
1618388960.895,938,1,0022200000000000
1618388960.896,938,2,0022200000000000
1618388960.897,578,1,026c204723000001
1618388960.899,578,2,026c204723000001
